,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_epochs,param_optimizer,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,12.34463677406311,0.2876003371941196,0.15061216354370116,0.001134534306602642,16,100,Adam,"{'batch_size': 16, 'epochs': 100, 'optimizer': 'Adam'}",0.9937499761581421,0.918749988079071,0.964062511920929,0.8421875238418579,0.9906250238418579,0.9418750047683716,0.05662547613990372,16
1,11.840096187591552,0.5204713835333414,0.1514042377471924,0.0023974419313501564,16,100,SGD,"{'batch_size': 16, 'epochs': 100, 'optimizer': 'SGD'}",0.9375,0.9125000238418579,0.9312499761581421,0.948437511920929,0.9359375238418579,0.9331250071525574,0.011750993937712843,20
2,12.763467454910279,0.41105176202575233,0.15059361457824708,0.0016325598485146004,16,100,RMSprop,"{'batch_size': 16, 'epochs': 100, 'optimizer': 'RMSprop'}",0.9390624761581421,0.9203125238418579,0.9593750238418579,0.940625011920929,0.9781249761581421,0.9475000023841857,0.01968004819836715,11
3,24.22839469909668,0.36571469063007644,0.15173192024230958,0.0011008089318324298,16,200,Adam,"{'batch_size': 16, 'epochs': 200, 'optimizer': 'Adam'}",0.9750000238418579,0.9609375,0.979687511920929,0.934374988079071,0.9390624761581421,0.9578125,0.018355234166139885,6
4,22.12178430557251,0.6370490656851066,0.15160460472106935,0.00488488274836652,16,200,SGD,"{'batch_size': 16, 'epochs': 200, 'optimizer': 'SGD'}",0.981249988079071,0.917187511920929,0.925000011920929,0.9671875238418579,0.926562488079071,0.9434375047683716,0.02572009624930416,15
5,25.84257960319519,1.0935825366815433,0.15139665603637695,0.003395670254935576,16,200,RMSprop,"{'batch_size': 16, 'epochs': 200, 'optimizer': 'RMSprop'}",0.940625011920929,0.9750000238418579,0.979687511920929,0.987500011920929,0.9546874761581421,0.9675000071525574,0.017269696191517993,3
6,46.942321157455446,1.2159969366382806,0.15024685859680176,0.0007416493910217841,16,400,Adam,"{'batch_size': 16, 'epochs': 400, 'optimizer': 'Adam'}",0.9765625,0.9859374761581421,0.9312499761581421,0.987500011920929,0.971875011920929,0.9706249952316284,0.020525335037579258,2
7,44.27544250488281,1.4079611264984973,0.1511941909790039,0.0019350147153075537,16,400,SGD,"{'batch_size': 16, 'epochs': 400, 'optimizer': 'SGD'}",0.9390624761581421,0.965624988079071,0.940625011920929,0.9546874761581421,0.934374988079071,0.946874988079071,0.011566719625525888,12
8,49.36814470291138,1.0873263819088106,0.15019702911376953,0.0014632609581172237,16,400,RMSprop,"{'batch_size': 16, 'epochs': 400, 'optimizer': 'RMSprop'}",0.984375,0.9703124761581421,0.9281250238418579,0.989062488079071,0.9390624761581421,0.9621874928474426,0.024395017473987708,4
9,4.847933578491211,0.11208251142352932,0.13057966232299806,0.001177067318148162,64,100,Adam,"{'batch_size': 64, 'epochs': 100, 'optimizer': 'Adam'}",0.984375,0.917187511920929,0.932812511920929,0.9453125,0.9281250238418579,0.9415625095367431,0.023230328267112042,17
10,4.467727708816528,0.08208424844079781,0.12978973388671874,0.002782194377849411,64,100,SGD,"{'batch_size': 64, 'epochs': 100, 'optimizer': 'SGD'}",0.9375,0.918749988079071,0.6265624761581421,0.934374988079071,0.9359375238418579,0.8706249952316284,0.12221667840138926,24
11,5.125152063369751,0.3584724287024002,0.12899155616760255,0.001272875762302436,64,100,RMSprop,"{'batch_size': 64, 'epochs': 100, 'optimizer': 'RMSprop'}",0.942187488079071,0.9156249761581421,0.973437488079071,0.895312488079071,0.9546874761581421,0.9362499833106994,0.02778263865133848,19
12,8.661194133758546,0.15568688920831394,0.30230040550231935,0.3459624318635117,64,200,Adam,"{'batch_size': 64, 'epochs': 200, 'optimizer': 'Adam'}",0.9390624761581421,0.9593750238418579,0.9624999761581421,0.9437500238418579,0.9359375238418579,0.9481250047683716,0.010798215647626676,10
13,8.268192577362061,0.22784531243261502,0.13134336471557617,0.002205695118281013,64,200,SGD,"{'batch_size': 64, 'epochs': 200, 'optimizer': 'SGD'}",0.7437499761581421,0.9140625,0.926562488079071,0.7562500238418579,0.9359375238418579,0.8553125023841858,0.08635749959246791,25
14,8.880331134796142,0.045067558012021995,0.1279911994934082,0.001262990156547358,64,200,RMSprop,"{'batch_size': 64, 'epochs': 200, 'optimizer': 'RMSprop'}",0.9390624761581421,0.949999988079071,0.9296875,0.9624999761581421,0.9453125,0.9453124880790711,0.010959792919587649,13
15,16.747345495224,0.3334979058512975,0.13135085105895997,0.008130307642511395,64,400,Adam,"{'batch_size': 64, 'epochs': 400, 'optimizer': 'Adam'}",0.9390624761581421,0.921875,0.9828125238418579,0.9609375,0.9781249761581421,0.9565624952316284,0.023162980142822885,7
16,15.912048435211181,0.3089721843178375,0.12891058921813964,0.0015618827459062431,64,400,SGD,"{'batch_size': 64, 'epochs': 400, 'optimizer': 'SGD'}",0.940625011920929,0.921875,0.9234374761581421,0.9593750238418579,0.973437488079071,0.94375,0.020131408886732174,14
17,17.430253553390504,0.3063271622781608,0.31039013862609866,0.3648031990667676,64,400,RMSprop,"{'batch_size': 64, 'epochs': 400, 'optimizer': 'RMSprop'}",0.96875,0.921875,0.973437488079071,0.940625011920929,0.942187488079071,0.9493749976158142,0.019177416804944242,8
18,3.4358427047729494,0.046725665290044086,0.12338814735412598,0.0004964921961771709,128,100,Adam,"{'batch_size': 128, 'epochs': 100, 'optimizer': 'Adam'}",0.9390624761581421,0.942187488079071,0.7437499761581421,0.9921875,0.9296875,0.909374988079071,0.08562728764791598,22
19,3.454480504989624,0.3836640596625455,0.1251375675201416,0.00038940208108003994,128,100,SGD,"{'batch_size': 128, 'epochs': 100, 'optimizer': 'SGD'}",0.6703125238418579,0.7265625,0.739062488079071,0.792187511920929,0.8812500238418579,0.7618750095367431,0.07116223028096157,27
20,3.6575583934783937,0.031171888517502352,0.12539339065551758,0.0013684237341409916,128,100,RMSprop,"{'batch_size': 128, 'epochs': 100, 'optimizer': 'RMSprop'}",0.987500011920929,0.925000011920929,0.9234374761581421,0.8968750238418579,0.7875000238418579,0.9040625095367432,0.06544319393758777,23
21,6.41419734954834,0.3938469647261299,0.12365508079528809,0.0011763403179615804,128,200,Adam,"{'batch_size': 128, 'epochs': 200, 'optimizer': 'Adam'}",0.940625011920929,0.921875,0.9828125238418579,0.971875011920929,0.926562488079071,0.9487500071525574,0.02439503411904316,9
22,5.898492527008057,0.04464203840273902,0.13079309463500977,0.008715515804351688,128,200,SGD,"{'batch_size': 128, 'epochs': 200, 'optimizer': 'SGD'}",0.940625011920929,0.7578125,0.698437511920929,0.754687488079071,0.84375,0.7990625023841857,0.08465578520870136,26
23,6.355278825759887,0.015942614653799564,0.12518882751464844,0.0021462279301995573,128,200,RMSprop,"{'batch_size': 128, 'epochs': 200, 'optimizer': 'RMSprop'}",0.96875,0.918749988079071,0.9312499761581421,0.9453125,0.918749988079071,0.9365624904632568,0.018843522641408247,18
24,12.035745763778687,0.3062246250312106,0.12381291389465332,0.0011981501231806153,128,400,Adam,"{'batch_size': 128, 'epochs': 400, 'optimizer': 'Adam'}",0.995312511920929,0.9937499761581421,0.934374988079071,0.979687511920929,0.987500011920929,0.978125,0.022556357334803042,1
25,11.269280004501343,0.15847677072634694,0.13459548950195313,0.01873426547397852,128,400,SGD,"{'batch_size': 128, 'epochs': 400, 'optimizer': 'SGD'}",0.942187488079071,0.9359375238418579,0.895312488079071,0.9296875,0.934374988079071,0.9274999976158143,0.016583127905507204,21
26,12.170998573303223,0.4737666340930601,0.12640380859375,0.0008019346049868366,128,400,RMSprop,"{'batch_size': 128, 'epochs': 400, 'optimizer': 'RMSprop'}",0.979687511920929,0.9203125238418579,0.9765625,0.989062488079071,0.9375,0.9606250047683715,0.026780348594570336,5
